2017-01-29 09:45:01,518 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: resumebuilder:resumebuilder:0.0.1-SNAPSHOT @ /Users/sankarnarayanan/Documents/MyGItProjects/TDDSample/resumebuilder/pom.xml.
2017-01-29 09:45:01,961 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-29 09:45:01,967 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-29 09:45:01,969 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-29 09:45:01,970 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-01-29 09:45:02,311 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: resumebuilder:resumebuilder:0.0.1-SNAPSHOT @ /Users/sankarnarayanan/Documents/MyGItProjects/TDDSample/resumebuilder/pom.xml.
2017-01-29 09:45:03,415 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-29 09:45:03,418 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-29 09:45:03,419 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-29 09:45:03,420 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-01-29 09:45:16,251 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-29 09:45:16,251 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-29 09:45:16,252 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-29 09:45:16,253 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
